Numero_Parada,UTM_X,UTM_Y,Longitud,Latitud
401.0,471200.001999999,4380256.02099999,2.664690995736529,39.57152400220638
402.0,479916.021,4375751.963,2.766304000617826,39.531189004818515
403.0,470759.983,4380258.007,2.6595679944527495,39.57152700268635
404.0,470386.978999999,4380667.95999999,2.655207005531988,39.57520800126998
406.0,470730.904096528,4380238.92669749,2.6592302855264864,39.57135409100091
407.0,470957.994999999,4380243.05399999,2.6618740004233414,39.57139900184097
408.0,471342.043,4380225.97099999,2.666346004366913,39.57125800183798
409.0,479712.969999999,4375304.014,2.7639549970450585,39.527148004671
410.0,471545.043,4379816.023,2.66872699988327,39.56757099958223
412.0,470810.978999999,4379706.002,2.660185994941414,39.566555001353045
413.0,480102.032999999,4376366.989,2.768449999290766,39.53673499994713
414.0,471619.027999999,4380221.064,2.6695709975886657,39.57122300193979
415.0,471899.277036848,4380217.98013896,2.6728339123321834,39.571204446591416
416.0,472101.995999999,4380243.05499999,2.6751930025245936,39.5714369995888
417.0,472107.998,4380477.98599999,2.675253004529694,39.57355399921023
418.0,472046.962999999,4380676.979,2.6745339993388897,39.575345001847765
422.0,470460.974999999,4380478.00499999,2.656077005613621,39.57349900212456
423.0,478328.487760838,4373872.85046565,2.7478929446453577,39.51421873504592
425.0,478076.111947957,4374260.23087796,2.7449442920941403,39.51770280992771
426.0,477850.027,4374534.023,2.7423049988044816,39.5201640028921
427.0,477701.560117879,4374713.86428631,2.7405717081705694,39.52178061333356
428.0,477367.022999999,4375113.97099999,2.736666002611912,39.52537700387511
429.0,477184.993,4375291.966,2.734542003801916,39.5269760009636
430.0,476905.966,4375594.0,2.7312850021729695,39.52969000070814
431.0,480091.016,4376360.02599999,2.768322005472457,39.53667200473203
432.0,476485.023999999,4376020.997,2.7263720012085533,39.533526001779805
433.0,476247.993,4376213.05499999,2.723606998025778,39.53525000037753
434.0,475938.961,4376349.96399999,2.720005995208438,39.536475001561755
435.0,475635.622595527,4376525.08791127,2.7164697211851787,39.53804438419967
437.0,475468.009,4376585.06199999,2.7145169967888365,39.53858000127736
438.0,475136.023999999,4376896.985,2.7106420057505156,39.54138100103277
439.0,474306.751805362,4377770.09254737,2.7009575910021084,39.549223613995316
